,ISO code,Year,heat_energy_co,High,Low,dwel_area,deg_days,Country,GDP
0,AT,1990,4.8858,6.0,0.2,84.0753,3653.29,Austria,19461.99694
1,AT,1991,4.8931,6.0,0.2,84.5465,4007.59,Austria,20605.85357
2,AT,1992,5.0566,6.0,0.2,85.0993,3595.32,Austria,21281.15471
3,AT,1993,4.9303,6.0,0.2,85.536,3766.17,Austria,21720.51107
4,AT,1994,5.0382,6.0,0.2,86.1,3367.48,Austria,22629.97096
5,AT,1995,4.9445,6.0,0.2,87.4,3799.04,Austria,23684.62005
6,AT,1996,4.9014,6.0,0.2,88.2,4119.39,Austria,24553.84013
7,AT,1997,4.832,6.0,0.2,88.8,3684.86,Austria,25426.71741
8,AT,1998,5.0505,6.0,0.2,89.1,3714.68,Austria,26675.04316
9,AT,1999,5.136,6.0,0.2,89.9,3670.18,Austria,27606.48303
10,AT,2000,5.3302,6.0,0.2,90.6,3408.97,Austria,29376.01974
11,AT,2001,5.1594,6.0,0.2,91.3,3747.09,Austria,29702.79753
12,AT,2002,5.2083,6.0,0.2,91.8,3480.79,Austria,31178.69333
13,AT,2003,4.9458,6.0,0.2,93.9,3703.61,Austria,32144.24181
14,AT,2004,4.9909,6.0,0.2,96.4,3737.74,Austria,33773.82578
15,AT,2005,4.9598,6.0,0.2,96.9,3853.61,Austria,35013.71404
16,AT,2006,5.0308,6.0,0.2,97.4,3649.35,Austria,37662.18517
17,AT,2007,5.147,6.0,0.2,97.8,3363.28,Austria,39430.60917
18,AT,2008,5.1344,6.0,0.2,98.0,3444.43,Austria,41316.22518
19,AT,2009,5.0611,6.0,0.2,98.2,3504.84,Austria,40918.13212
20,AT,2010,4.8178,6.0,0.2,98.8,3905.88,Austria,42009.43853
21,AT,2011,5.0246,6.0,0.2,99.0,3409.28,Austria,44452.73275
22,AT,2012,5.0928,6.0,0.2,99.1,3552.85,Austria,46457.34578
23,AT,2013,5.2256,6.0,0.2,99.6,3635.43,Austria,47922.04912
24,AT,2014,5.3901,6.0,0.2,99.7,3126.98,Austria,48799.71547
25,AT,2015,5.378,6.0,0.2,99.2,3316.42,Austria,49865.90394
26,AT,2016,5.3763,6.0,0.2,99.3,3419.3,Austria,52684.01711
27,AT,2017,5.2913,6.0,0.2,99.6,3498.07,Austria,54172.98679
28,AT,2018,5.3251,6.0,0.2,100.1,3193.65,Austria,56960.09143
29,AT,2019,5.4059,6.0,0.2,100.0,3279.5,Austria,58076.3488
30,BG,1990,1.5175,6.2,-2.0,58.82,2526.37,Bulgaria,7547.12237
31,BG,1991,1.4513,6.2,-2.0,58.88,3003.33,Bulgaria,7214.513778
32,BG,1992,1.4955,6.2,-2.0,63.54,2735.4,Bulgaria,6916.174153
33,BG,1993,1.5396,6.2,-2.0,63.75,2885.77,Bulgaria,7031.17228
34,BG,1994,1.4955,6.2,-2.0,63.58,2486.25,Bulgaria,7336.747085
35,BG,1995,1.3033,6.2,-2.0,63.66,2779.84,Bulgaria,7738.843638
36,BG,1996,1.4579,6.2,-2.0,63.7,3039.62,Bulgaria,6846.984339
37,BG,1997,1.3287,6.2,-2.0,63.75,2937.72,Bulgaria,5750.439437
38,BG,1998,1.5095,6.2,-2.0,63.79,2692.83,Bulgaria,6177.653654
39,BG,1999,1.4649,6.2,-2.0,63.85,2478.83,Bulgaria,5807.811701
40,BG,2000,1.4283,6.2,-2.0,63.91,2481.29,Bulgaria,6421.959135
41,BG,2001,1.2675,6.2,-2.0,63.45,2525.98,Bulgaria,6958.978417
42,BG,2002,1.4366,6.2,-2.0,63.5,2522.88,Bulgaria,7786.448422
43,BG,2003,1.346,6.2,-2.0,63.55,2891.31,Bulgaria,8416.983667
44,BG,2004,1.3793,6.2,-2.0,63.6,2537.4,Bulgaria,9201.504128
45,BG,2005,1.3151,6.2,-2.0,63.67,2692.51,Bulgaria,10291.43777
46,BG,2006,1.369,6.2,-2.0,63.74,2660.51,Bulgaria,11408.11806
47,BG,2007,1.4366,6.2,-2.0,63.82,2393.19,Bulgaria,12811.35877
48,BG,2008,1.4629,6.2,-2.0,63.9,2466.82,Bulgaria,14335.7146
49,BG,2009,1.4945,6.2,-2.0,63.946,2437.31,Bulgaria,14181.15468
50,BG,2010,1.4769,6.2,-2.0,63.9991,2516.82,Bulgaria,14956.48718
51,BG,2011,1.44,6.2,-2.0,72.75,2798.59,Bulgaria,15747.08538
52,BG,2012,1.5455,6.2,-2.0,73.071,2614.0,Bulgaria,16327.87261
53,BG,2013,1.5544,6.2,-2.0,73.0983,2387.56,Bulgaria,16647.0064
54,BG,2014,1.5001,6.2,-2.0,73.13,2365.02,Bulgaria,17616.91318
55,BG,2015,1.5521,6.2,-2.0,73.1723,2371.11,Bulgaria,18391.92747
56,BG,2016,1.5719,6.2,-2.0,73.1975,2420.17,Bulgaria,20074.35539
57,BG,2017,1.5406,6.2,-2.0,73.2286,2527.59,Bulgaria,21469.94544
58,BG,2018,1.5631,6.2,-2.0,73.2693,2352.1,Bulgaria,23016.09064
59,BG,2019,1.6196,6.2,-2.0,73.3284,2152.56,Bulgaria,24497.62727
60,HR,1990,1.5304,7.4,-0.8,70.0,2346.28,,
61,HR,1991,1.46,7.4,-0.8,70.0,2804.18,,
62,HR,1992,1.4261,7.4,-0.8,70.0,2489.43,,
63,HR,1993,1.3941,7.4,-0.8,70.0,2573.6,,
64,HR,1994,1.4364,7.4,-0.8,70.482,2259.51,,
65,HR,1995,1.4572,7.4,-0.8,71.0896,2642.38,Croatia,8075.77969
66,HR,1996,1.5443,7.4,-0.8,69.8608,2877.77,Croatia,8827.541242
67,HR,1997,1.5621,7.4,-0.8,70.2059,2538.52,Croatia,9558.53881
68,HR,1998,1.5987,7.4,-0.8,70.8707,2514.58,Croatia,9910.372888
