,growth,period,energy_type,start_end,price
0,,nan n - May 88,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,29.8
1,3.3557046979865772,May 88 - Nov 88,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,30.8
2,2.2727272727272703,Nov 88 - May 89,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,31.5
3,3.4920634920634965,May 89 - Nov 89,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,32.6
4,4.294478527607358,Nov 89 - May 90,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,34.0
5,5.294117647058815,May 90 - Nov 90,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,35.8
6,2.5139664804469435,Nov 90 - May 91,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,36.7
7,4.087193460490464,May 91 - Nov 91,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.2
8,0.0,Nov 91 - May 92,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.2
9,-0.2617801047120456,May 92 - Nov 92,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.1
10,-1.3123359580052494,Nov 92 - May 93,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.6
11,-0.5319148936170288,May 93 - Nov 93,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.4
12,6.417112299465237,Nov 93 - May 94,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,39.8
13,0.0,May 94 - Nov 94,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,39.8
14,0.25125628140703876,Nov 94 - May 95,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,39.9
15,0.2506265664160437,May 95 - Nov 95,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,40.0
16,0.5000000000000071,Nov 95 - May 96,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,40.2
17,-0.4975124378109523,May 96 - Nov 96,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,40.0
18,-1.25,Nov 96 - May 97,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,39.5
19,-3.79746835443038,May 97 - Nov 97,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.0
20,-1.3157894736842104,Nov 97 - May 98,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.5
21,-0.533333333333341,May 98 - Nov 98,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.3
22,-0.2680965147452931,Nov 98 - May 99,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.2
23,1.3440860215053763,May 99 - Nov 99,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.7
24,-1.5915119363395265,Nov 99 - May 00,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.1
25,2.6954177897574123,May 00 - Nov 00,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.1
26,0.0,Nov 00 - May 01,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.1
27,-0.7874015748031606,May 01 - Nov 01,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,37.8
28,2.380952380952396,Nov 01 - May 02,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.7
29,0.2583979328165228,May 02 - Nov 02,"ELECTRICITY, GAS AND OTHER FUELS ",End Price,38.8
