,search_term,year,month,interest,date,interest_sa,price
0,double glazing,2018,12,42.6,2018-12-01,61.59236787890726,105.8
1,efficient boiler,2018,12,17.2,2018-12-01,17.233365793220383,105.8
2,efficient heater,2018,12,11.6,2018-12-01,10.159930116377009,105.8
3,energy efficient,2018,12,11.2,2018-12-01,8.478527258284853,105.8
4,insulation,2018,12,40.4,2018-12-01,53.80854649174849,105.8
5,secondary glazing,2018,12,26.4,2018-12-01,34.49187951038176,105.8
6,triple glazing,2018,12,30.2,2018-12-01,42.237332400889954,105.8
7,double glazing,2019,1,59.5,2019-01-01,59.5,104.2
8,efficient boiler,2019,1,23.25,2019-01-01,23.25,104.2
9,efficient heater,2019,1,18.0,2019-01-01,18.0,104.2
10,energy efficient,2019,1,12.75,2019-01-01,12.75,104.2
11,insulation,2019,1,60.25,2019-01-01,60.25,104.2
12,secondary glazing,2019,1,36.5,2019-01-01,36.5,104.2
13,triple glazing,2019,1,35.75,2019-01-01,35.75,104.2
14,double glazing,2019,2,57.0,2019-02-01,53.4203063825312,104.3
15,efficient boiler,2019,2,12.25,2019-02-01,11.933799293442648,104.3
16,efficient heater,2019,2,7.25,2019-02-01,12.101308034032373,104.3
17,energy efficient,2019,2,11.25,2019-02-01,12.668327721265332,104.3
18,insulation,2019,2,50.5,2019-02-01,54.81237879961431,104.3
19,secondary glazing,2019,2,30.75,2019-02-01,31.359235656614473,104.3
20,triple glazing,2019,2,45.5,2019-02-01,51.76511170990359,104.3
21,double glazing,2019,3,61.0,2019-03-01,62.604501653951296,104.4
22,efficient boiler,2019,3,18.6,2019-03-01,18.092598586885295,104.4
23,efficient heater,2019,3,3.8,2019-03-01,12.419282734731372,104.4
24,energy efficient,2019,3,9.0,2019-03-01,11.183877664752869,104.4
25,insulation,2019,3,44.4,2019-03-01,58.733090932561936,104.4
26,secondary glazing,2019,3,23.4,2019-03-01,32.562915757673366,104.4
27,triple glazing,2019,3,22.0,2019-03-01,31.724667864251643,104.4
28,double glazing,2019,4,58.25,2019-04-01,59.7328063825312,107.0
29,efficient boiler,2019,4,13.0,2019-04-01,24.808799293442636,107.0
30,efficient heater,2019,4,0.5,2019-04-01,10.601308034032364,107.0
31,energy efficient,2019,4,9.5,2019-04-01,11.79332772126533,107.0
32,insulation,2019,4,40.75,2019-04-01,58.93737879961429,107.0
33,secondary glazing,2019,4,14.75,2019-04-01,28.421735656614462,107.0
34,triple glazing,2019,4,37.5,2019-04-01,52.95261170990359,107.0
35,double glazing,2019,5,52.0,2019-05-01,58.21313713407535,107.1
36,efficient boiler,2019,5,12.75,2019-05-01,23.640212382943965,107.1
37,efficient heater,2019,5,3.0,2019-05-01,13.65875192721532,107.1
38,energy efficient,2019,5,9.75,2019-05-01,13.778042073234118,107.1
39,insulation,2019,5,39.0,2019-05-01,60.49903144728211,107.1
40,secondary glazing,2019,5,18.75,2019-05-01,33.83683747138888,107.1
41,triple glazing,2019,5,21.75,2019-05-01,41.707607672035714,107.1
42,double glazing,2019,6,48.0,2019-06-01,53.28420142492304,107.1
43,efficient boiler,2019,6,8.8,2019-06-01,23.267808193411724,107.1
44,efficient heater,2019,6,3.4,2019-06-01,15.319458976945509,107.1
45,energy efficient,2019,6,8.6,2019-06-01,14.410411680829617,107.1
46,insulation,2019,6,38.4,2019-06-01,60.25376701692674,107.1
47,secondary glazing,2019,6,14.0,2019-06-01,29.25191598127833,107.1
48,triple glazing,2019,6,26.8,2019-06-01,45.49702798752063,107.1
49,double glazing,2019,7,49.75,2019-07-01,49.99750368058667,107.1
50,efficient boiler,2019,7,3.0,2019-07-01,15.59238439347739,107.1
51,efficient heater,2019,7,3.75,2019-07-01,15.247579783430044,107.1
52,energy efficient,2019,7,10.75,2019-07-01,13.80778115260854,107.1
53,insulation,2019,7,36.75,2019-07-01,56.59110555985794,107.1
54,secondary glazing,2019,7,19.0,2019-07-01,34.574694412795495,107.1
55,triple glazing,2019,7,31.25,2019-07-01,42.82840152956045,107.1
56,double glazing,2019,8,52.5,2019-08-01,51.03149694988658,107.2
57,efficient boiler,2019,8,3.0,2019-08-01,6.210238293438993,107.2
58,efficient heater,2019,8,2.75,2019-08-01,8.121019935738804,107.2
59,energy efficient,2019,8,8.0,2019-08-01,4.8468757409638155,107.2
60,insulation,2019,8,40.0,2019-08-01,55.39893687636693,107.2
61,secondary glazing,2019,8,12.5,2019-08-01,22.86821541359429,107.2
62,triple glazing,2019,8,23.5,2019-08-01,41.9779726180338,107.2
63,double glazing,2019,9,53.0,2019-09-01,51.69596613080538,107.2
64,efficient boiler,2019,9,12.4,2019-09-01,12.573690546352907,107.2
65,efficient heater,2019,9,11.4,2019-09-01,2.260635447533745,107.2
66,energy efficient,2019,9,11.8,2019-09-01,2.6692352102413794,107.2
67,insulation,2019,9,45.8,2019-09-01,51.35964936986791,107.2
68,secondary glazing,2019,9,32.0,2019-09-01,26.89897480480774,107.2
69,triple glazing,2019,9,29.4,2019-09-01,36.44996916399122,107.2
70,double glazing,2019,10,54.25,2019-10-01,51.74999999999999,106.1
71,efficient boiler,2019,10,20.5,2019-10-01,8.277777777777786,106.1
72,efficient heater,2019,10,18.25,2019-10-01,7.805555555555561,106.1
73,energy efficient,2019,10,16.5,2019-10-01,5.333333333333341,106.1
74,insulation,2019,10,55.75,2019-10-01,54.63888888888887,106.1
75,secondary glazing,2019,10,40.25,2019-10-01,29.361111111111104,106.1
76,triple glazing,2019,10,36.25,2019-10-01,38.41666666666665,106.1
77,double glazing,2019,11,50.25,2019-11-01,54.51824045115358,106.2
78,efficient boiler,2019,11,31.25,2019-11-01,18.732817373561524,106.2
79,efficient heater,2019,11,21.0,2019-11-01,8.643705461738502,106.2
80,energy efficient,2019,11,16.0,2019-11-01,7.433562929849602,106.2
81,insulation,2019,11,62.5,2019-11-01,58.63618278552711,106.2
82,secondary glazing,2019,11,41.25,2019-11-01,31.023477996908028,106.2
83,triple glazing,2019,11,29.0,2019-11-01,35.86533090519164,106.2
84,double glazing,2019,12,36.0,2019-12-01,54.992367878907274,106.2
85,efficient boiler,2019,12,27.4,2019-12-01,27.433365793220382,106.2
86,efficient heater,2019,12,10.6,2019-12-01,9.159930116377009,106.2
87,energy efficient,2019,12,13.4,2019-12-01,10.678527258284852,106.2
88,insulation,2019,12,46.6,2019-12-01,60.00854649174848,106.2
89,secondary glazing,2019,12,22.4,2019-12-01,30.491879510381757,106.2
90,triple glazing,2019,12,23.6,2019-12-01,35.63733240088995,106.2
91,double glazing,2020,1,54.0,2020-01-01,54.0,106.3
92,efficient boiler,2020,1,13.5,2020-01-01,13.5,106.3
93,efficient heater,2020,1,9.5,2020-01-01,9.5,106.3
94,energy efficient,2020,1,14.5,2020-01-01,14.5,106.3
95,insulation,2020,1,56.25,2020-01-01,56.24999999999999,106.3
96,secondary glazing,2020,1,24.5,2020-01-01,24.5,106.3
97,triple glazing,2020,1,39.75,2020-01-01,39.75,106.3
98,double glazing,2020,2,59.25,2020-02-01,55.6703063825312,106.2
99,efficient boiler,2020,2,12.0,2020-02-01,11.683799293442647,106.2
100,efficient heater,2020,2,5.5,2020-02-01,10.351308034032376,106.2
101,energy efficient,2020,2,14.5,2020-02-01,15.918327721265333,106.2
102,insulation,2020,2,55.0,2020-02-01,59.312378799614294,106.2
103,secondary glazing,2020,2,29.0,2020-02-01,29.60923565661447,106.2
104,triple glazing,2020,2,29.75,2020-02-01,36.01511170990359,106.2
105,double glazing,2020,3,41.4,2020-03-01,43.004501653951294,106.2
