Title,"CPI INDEX 04 : HOUSING, WATER AND FUELS 2015=100"
CDID,D7BX
Source dataset ID,MM23
PreUnit,
Unit,"Index, base year = 100"
Release date,16/11/2022
Next release,14-Dec-22
Important notes,
1988,32.9
1989,35.1
1990,38.4
1991,42.4
1992,44.6
1993,45.8
1994,47.8
1995,49.6
1996,51.2
1997,52
1998,52.7
1999,53.8
2000,54.6
2001,55.8
2002,57.2
2003,58.3
2004,60.5
2005,64.3
2006,70.2
2007,73.7
2008,80.1
2009,83.5
2010,83.8
2011,88.4
2012,92.8
2013,96.6
2014,99.5
2015,100
2016,100.2
2017,102
2018,104.4
2019,106.2
2020,105.8
2021,108.3
1988 Q1,31.7
1988 Q2,32.8
1988 Q3,33.4
1988 Q4,33.6
1989 Q1,33.7
1989 Q2,35.2
1989 Q3,35.6
1989 Q4,36
1990 Q1,36.3
1990 Q2,38.2
1990 Q3,39.3
1990 Q4,39.9
1991 Q1,40.2
1991 Q2,42.5
1991 Q3,43.2
1991 Q4,43.5
1992 Q1,43.6
1992 Q2,44.8
1992 Q3,45
1992 Q4,45
1993 Q1,45
1993 Q2,46.1
1993 Q3,46
1993 Q4,46.1
1994 Q1,46
1994 Q2,48.3
1994 Q3,48.4
1994 Q4,48.4
1995 Q1,48.6
1995 Q2,49.8
1995 Q3,49.9
1995 Q4,50.1
1996 Q1,50.3
1996 Q2,51.3
1996 Q3,51.5
1996 Q4,51.5
1997 Q1,51.7
1997 Q2,52.3
1997 Q3,52.2
1997 Q4,52
1998 Q1,52
1998 Q2,52.8
1998 Q3,52.8
1998 Q4,53.1
1999 Q1,53.2
1999 Q2,53.8
1999 Q3,54.1
1999 Q4,54.3
2000 Q1,54.6
2000 Q2,54.2
2000 Q3,54.5
2000 Q4,55
2001 Q1,54.9
2001 Q2,56
2001 Q3,56.2
2001 Q4,56.2
2002 Q1,56.6
2002 Q2,57.3
2002 Q3,57.4
2002 Q4,57.6
2003 Q1,57.8
2003 Q2,58.2
2003 Q3,58.5
2003 Q4,58.9
2004 Q1,59.2
2004 Q2,60.3
2004 Q3,60.7
2004 Q4,61.7
2005 Q1,62.6
2005 Q2,64.2
2005 Q3,64.6
2005 Q4,65.7
2006 Q1,66.7
2006 Q2,69.8
2006 Q3,71.3
2006 Q4,73
2007 Q1,73.9
2007 Q2,74
2007 Q3,73.4
2007 Q4,73.6
2008 Q1,75.9
2008 Q2,78.6
2008 Q3,81.3
2008 Q4,84.5
2009 Q1,84
2009 Q2,83.1
2009 Q3,83.3
2009 Q4,83.5
2010 Q1,83.6
2010 Q2,83.5
2010 Q3,83.6
2010 Q4,84.4
2011 Q1,86.1
2011 Q2,87.1
2011 Q3,88.7
2011 Q4,91.8
2012 Q1,91.9
2012 Q2,92.5
2012 Q3,92.8
2012 Q4,94.1
2013 Q1,95.7
2013 Q2,96.4
2013 Q3,96.8
2013 Q4,97.6
2014 Q1,98.9
2014 Q2,99.4
2014 Q3,99.8
2014 Q4,100
2015 Q1,99.7
2015 Q2,99.9
2015 Q3,100.2
2015 Q4,100.2
2016 Q1,100.1
2016 Q2,99.9
2016 Q3,100.2
2016 Q4,100.5
2017 Q1,100.9
2017 Q2,101.8
2017 Q3,102.4
2017 Q4,102.9
2018 Q1,103.1
2018 Q2,103.7
2018 Q3,104.8
2018 Q4,105.8
2019 Q1,104.3
2019 Q2,107.1
2019 Q3,107.2
2019 Q4,106.2
2020 Q1,106.2
2020 Q2,105.8
2020 Q3,106.3
2020 Q4,104.8
2021 Q1,105.1
2021 Q2,107.7
2021 Q3,108.2
2021 Q4,112
2022 Q1,112.8
2022 Q2,128.6
2022 Q3,129.9
1988 JAN,31.7
1988 FEB,31.7
1988 MAR,31.7
1988 APR,32.5
1988 MAY,32.8
1988 JUN,33.1
1988 JUL,33.4
1988 AUG,33.4
1988 SEP,33.4
1988 OCT,33.6
1988 NOV,33.6
1988 DEC,33.6
1989 JAN,33.7
1989 FEB,33.7
1989 MAR,33.8
1989 APR,35
1989 MAY,35.1
1989 JUN,35.4
1989 JUL,35.5
1989 AUG,35.6
1989 SEP,35.7
1989 OCT,35.9
1989 NOV,36
1989 DEC,36.1
1990 JAN,36.3
1990 FEB,36.3
1990 MAR,36.4
1990 APR,37.8
1990 MAY,38.3
1990 JUN,38.6
1990 JUL,38.9
1990 AUG,39.3
1990 SEP,39.5
1990 OCT,40
1990 NOV,39.9
1990 DEC,39.9
1991 JAN,40.2
1991 FEB,40.3
1991 MAR,40.2
1991 APR,42.1
1991 MAY,42.5
1991 JUN,42.9
1991 JUL,43.1
1991 AUG,43.3
1991 SEP,43.3
1991 OCT,43.4
1991 NOV,43.5
1991 DEC,43.5
1992 JAN,43.5
1992 FEB,43.6
1992 MAR,43.6
1992 APR,44.8
1992 MAY,44.9
1992 JUN,44.8
1992 JUL,45
1992 AUG,45
1992 SEP,44.9
1992 OCT,45
1992 NOV,45
1992 DEC,45
1993 JAN,44.9
1993 FEB,45
1993 MAR,45
1993 APR,46.2
1993 MAY,46
1993 JUN,46
1993 JUL,46
1993 AUG,46
1993 SEP,46.1
1993 OCT,46.2
1993 NOV,46.1
1993 DEC,46.1
1994 JAN,46.1
1994 FEB,46
1994 MAR,46
1994 APR,48.4
1994 MAY,48.3
1994 JUN,48.3
1994 JUL,48.4
1994 AUG,48.4
1994 SEP,48.4
1994 OCT,48.4
1994 NOV,48.4
1994 DEC,48.5
1995 JAN,48.5
1995 FEB,48.6
1995 MAR,48.6
1995 APR,49.8
1995 MAY,49.8
1995 JUN,49.8
1995 JUL,49.8
1995 AUG,49.8
1995 SEP,50
1995 OCT,50
1995 NOV,50.1
1995 DEC,50.1
1996 JAN,50.3
1996 FEB,50.3
1996 MAR,50.4
1996 APR,51.2
1996 MAY,51.2
1996 JUN,51.4
1996 JUL,51.5
1996 AUG,51.5
1996 SEP,51.5
1996 OCT,51.6
1996 NOV,51.5
1996 DEC,51.5
1997 JAN,51.7
1997 FEB,51.7
1997 MAR,51.8
1997 APR,52.3
1997 MAY,52.3
1997 JUN,52.3
1997 JUL,52.3
1997 AUG,52.3
1997 SEP,51.9
1997 OCT,52
1997 NOV,52
1997 DEC,51.9
1998 JAN,51.9
1998 FEB,52
1998 MAR,52.1
1998 APR,52.8
1998 MAY,52.8
1998 JUN,52.8
1998 JUL,52.8
1998 AUG,52.8
1998 SEP,52.9
1998 OCT,53.1
1998 NOV,53.1
