,Lifter,Date,variable,value
0,Bobb Matthews,06/08/2022,points_ipf_gl,118.59
1,Ashton Rouska,03/05/2022,points_ipf_gl,118.55
2,Brandon Pitre,06/08/2022,points_ipf_gl,117.87
3,Keenan Lee,08/28/2022,points_ipf_gl,117.6
4,Austin Perkins,08/06/2022,points_ipf_gl,117.22
5,Russel Orhii,06/08/2022,points_ipf_gl,116.58
6,Rondel Hunte,07/23/2022,points_ipf_gl,115.58
7,Jon Gruden,06/08/2022,points_ipf_gl,114.25
8,Angelo Fortino,06/08/2022,points_ipf_gl,114.19
9,Sean Noriega,06/08/2022,points_ipf_gl,113.94
10,Jawon Garrison,09/24/2022,points_ipf_gl,113.79
11,Jonathan Hill,06/08/2022,points_ipf_gl,113.37
12,Bryce Lewis,06/08/2022,points_ipf_gl,112.58
13,Marcus Adodo,10/15/2022,points_ipf_gl,111.72
14,JamaRR Royster,06/08/2022,points_ipf_gl,111.27
15,Jerald Scott,06/08/2022,points_ipf_gl,111.14
16,Morgan Aquino Garcia,06/08/2022,points_ipf_gl,110.64
17,Dominique Fuqua,01/29/2022,points_ipf_gl,110.46
18,Brian Le,10/08/2022,points_ipf_gl,110.41
19,Charles Okpoko,03/19/2022,points_ipf_gl,110.37
20,Kyle de Leon,06/08/2022,points_ipf_gl,110.26
21,Jimmy Villanueva,03/06/2022,points_ipf_gl,110.21
22,David Woolson,06/08/2022,points_ipf_gl,109.79
23,Connor Borkert,06/08/2022,points_ipf_gl,109.58
24,Anthony Bilal,09/03/2022,points_ipf_gl,109.5
25,Justin Rogers,03/05/2022,points_ipf_gl,109.43
26,Jared Martin,06/08/2022,points_ipf_gl,109.39
27,Christopher Perez,06/07/2022,points_ipf_gl,109.21
28,Joseph Borenstein,07/02/2022,points_ipf_gl,109.02
29,Dameion Morris,09/10/2022,points_ipf_gl,108.83
30,Kevin Nguyen,06/08/2022,points_ipf_gl,108.8
31,Neil Osano,08/06/2022,points_ipf_gl,108.63
32,Eric LaPointe,06/08/2022,points_ipf_gl,108.47
33,Joshua Tukua,09/10/2022,points_ipf_gl,108.47
34,Anas Anbar,06/08/2022,points_ipf_gl,108.35
35,Lorenzo Wright,03/19/2022,points_ipf_gl,108.17
36,Daniel Clements,06/08/2022,points_ipf_gl,108.08
37,Joshua Powell,10/08/2022,points_ipf_gl,108.0
38,Alex Luckow,06/08/2022,points_ipf_gl,107.82
39,Richard Cho,06/08/2022,points_ipf_gl,107.72
40,Tracy Gilliard,06/08/2022,points_ipf_gl,107.65
41,Mark Frezzell,06/08/2022,points_ipf_gl,107.51
42,Daniel Howell,06/08/2022,points_ipf_gl,107.03
43,Jacob Ramos,06/08/2022,points_ipf_gl,106.97
44,Uthdoung pros,03/06/2022,points_ipf_gl,106.84
45,Trevor Bowlus,02/26/2022,points_ipf_gl,106.81
46,Deon Johnston,06/08/2022,points_ipf_gl,106.78
47,Preston Savoy Jr,10/15/2022,points_ipf_gl,106.77
48,Charlie Yeng,06/08/2022,points_ipf_gl,106.75
49,Charvis Paia,06/07/2022,points_ipf_gl,106.72
50,Andre' Easter Ii,10/15/2022,points_ipf_gl,106.68
51,Kim Tran,06/08/2022,points_ipf_gl,106.58
52,Gage Carreon,03/06/2022,points_ipf_gl,106.37
53,Sean Collins,04/10/2022,points_ipf_gl,106.34
54,Kyle Power,04/23/2022,points_ipf_gl,106.31
55,Kai Zhao,03/19/2022,points_ipf_gl,106.14
56,Lamar Rhodes,09/24/2022,points_ipf_gl,106.06
57,Eric Gardner,02/19/2022,points_ipf_gl,105.96
58,Fujii Yuya,06/08/2022,points_ipf_gl,105.85
59,Enrique Lugo,02/26/2022,points_ipf_gl,105.81
60,Premar Namnama,06/08/2022,points_ipf_gl,105.81
61,Devin Williams,03/06/2022,points_ipf_gl,105.72
62,Benjamin Collins,01/15/2022,points_ipf_gl,105.39
63,Taylor Casteel,03/26/2022,points_ipf_gl,105.39
64,Christopher Rivera,09/03/2022,points_ipf_gl,105.19
65,Dallas Bey,06/08/2022,points_ipf_gl,105.04
66,Yehia Aboelnaga,02/12/2022,points_ipf_gl,105.04
67,Trey RIkard,10/15/2022,points_ipf_gl,104.95
68,Zachary Yamamoto,06/08/2022,points_ipf_gl,104.85
69,Ken Nguyen,03/26/2022,points_ipf_gl,104.54
70,Jalen Faulk,10/15/2022,points_ipf_gl,104.5
