Database
Item code,ISO code,Unit,Year,Value,Source Code,Note,Title
toccfreschc,AT,Mtoe,1990,4.8858,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1991,4.8931,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1992,5.0566,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1993,4.9303,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1994,5.0382,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1995,4.9445,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1996,4.9014,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1997,4.8320,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1998,5.0505,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,1999,5.1360,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2000,5.3302,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2001,5.1594,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2002,5.2083,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2003,4.9458,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2004,4.9909,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2005,4.9598,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2006,5.0308,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2007,5.1470,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2008,5.1344,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2009,5.0611,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2010,4.8178,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2011,5.0246,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2012,5.0928,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2013,5.2256,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2014,5.3901,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2015,5.3780,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2016,5.3763,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2017,5.2913,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2018,5.3251,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2019,5.4059,TU-IEW,,Final consumption of residential for space heating with climatic corrections
toccfreschc,AT,Mtoe,2020,n.a.,TU-IEW,,Final consumption of residential for space heating with climatic corrections
