,country,year,heat_consump
0,Austria,2000,15.804
1,Belgium,2000,
2,Bulgaria,2000,9.474
3,Croatia,2000,22.833
4,Cyprus,2000,14.823
5,Czechia,2000,17.625
6,Denmark,2000,13.803
7,Estonia,2000,13.39
8,Finland,2000,7.838
9,France,2000,19.868
10,Germany,2000,16.562
11,Greece,2000,19.39
12,Hungary,2000,14.933
13,Ireland,2000,16.676
14,Italy,2000,14.981
15,Latvia,2000,20.604
16,Lithuania,2000,11.342
17,Luxembourg,2000,
18,Malta,2000,
19,Netherlands,2000,14.615
20,Norway,2000,
21,Poland,2000,17.391
22,Portugal,2000,
23,Romania,2000,22.86
24,Serbia,2000,
25,Slovakia,2000,13.395
26,Slovenia,2000,21.863
27,Spain,2000,9.542
28,Sweden,2000,8.133
29,Switzerland,2000,13.698
30,United Kingdom,2000,
31,European Union,2000,12.93
32,European Union 28,2000,12.79
33,,2000,
34,,2000,
35,Source Odyssee,2000,
36,Austria,2001,15.06
37,Belgium,2001,
38,Bulgaria,2001,8.43
39,Croatia,2001,22.154
40,Cyprus,2001,19.611
41,Czechia,2001,17.433
42,Denmark,2001,13.102
43,Estonia,2001,12.353
44,Finland,2001,7.488
45,France,2001,19.412
46,Germany,2001,16.794
47,Greece,2001,20.613
48,Hungary,2001,14.333
49,Ireland,2001,16.926
50,Italy,2001,15.614
51,Latvia,2001,18.098
52,Lithuania,2001,10.846
53,Luxembourg,2001,
54,Malta,2001,
55,Netherlands,2001,14.499
56,Norway,2001,
57,Poland,2001,16.775
58,Portugal,2001,
59,Romania,2001,17.348
60,Serbia,2001,
61,Slovakia,2001,14.255
62,Slovenia,2001,20.735
63,Spain,2001,9.219
64,Sweden,2001,7.323
65,Switzerland,2001,13.857
66,United Kingdom,2001,
67,European Union,2001,12.664
68,European Union 28,2001,12.545
69,,2001,
70,,2001,
71,Source Odyssee,2001,
72,Austria,2002,14.987
73,Belgium,2002,
74,Bulgaria,2002,9.519
75,Croatia,2002,23.306
76,Cyprus,2002,18.251
77,Czechia,2002,17.619
78,Denmark,2002,13.559
79,Estonia,2002,12.095
80,Finland,2002,7.454
81,France,2002,19.436
82,Germany,2002,16.55
83,Greece,2002,21.529
84,Hungary,2002,16.255
85,Ireland,2002,17.911
86,Italy,2002,15.718
87,Latvia,2002,18.001
88,Lithuania,2002,11.308
89,Luxembourg,2002,
90,Malta,2002,
91,Netherlands,2002,14.415
92,Norway,2002,
93,Poland,2002,16.535
94,Portugal,2002,
95,Romania,2002,16.737
96,Serbia,2002,
97,Slovakia,2002,14.325
98,Slovenia,2002,19.977
99,Spain,2002,8.775
100,Sweden,2002,7.147
101,Switzerland,2002,13.376
102,United Kingdom,2002,14.325
103,European Union,2002,12.467
104,European Union 28,2002,12.421
105,,2002,
106,,2002,
107,Source Odyssee,2002,
108,Austria,2003,14.11
109,Belgium,2003,
110,Bulgaria,2003,8.878
111,Croatia,2003,22.024
112,Cyprus,2003,15.853
113,Czechia,2003,17.411
114,Denmark,2003,13.278
115,Estonia,2003,11.636
116,Finland,2003,7.57
117,France,2003,18.091
118,Germany,2003,16.194
119,Greece,2003,21.682
120,Hungary,2003,15.747
121,Ireland,2003,17.27
122,Italy,2003,15.919
123,Latvia,2003,17.481
124,Lithuania,2003,10.83
125,Luxembourg,2003,
126,Malta,2003,
127,Netherlands,2003,13.841
128,Norway,2003,
129,Poland,2003,14.906
130,Portugal,2003,5.618
131,Romania,2003,15.681
132,Serbia,2003,
133,Slovakia,2003,12.557
134,Slovenia,2003,19.174
135,Spain,2003,8.474
136,Sweden,2003,6.826
137,Switzerland,2003,13.549
138,United Kingdom,2003,13.897
139,European Union,2003,12.15
140,European Union 28,2003,12.11
141,,2003,
142,,2003,
143,Source Odyssee,2003,
144,Austria,2004,13.21
145,Belgium,2004,
146,Bulgaria,2004,9.053
147,Croatia,2004,22.313
148,Cyprus,2004,13.072
149,Czechia,2004,16.771
150,Denmark,2004,13.172
151,Estonia,2004,11.655
152,Finland,2004,7.579
153,France,2004,17.802
154,Germany,2004,14.37
155,Greece,2004,19.608
156,Hungary,2004,14.537
157,Ireland,2004,16.733
158,Italy,2004,15.399
159,Latvia,2004,16.59
160,Lithuania,2004,10.933
161,Luxembourg,2004,
162,Malta,2004,
163,Netherlands,2004,13.008
164,Norway,2004,
165,Poland,2004,15.297
166,Portugal,2004,4.993
167,Romania,2004,16.83
168,Serbia,2004,
169,Slovakia,2004,11.871
170,Slovenia,2004,18.816
171,Spain,2004,8.849
172,Sweden,2004,7.313
173,Switzerland,2004,13.026
174,United Kingdom,2004,13.835
175,European Union,2004,11.834
176,European Union 28,2004,11.83
177,,2004,
178,,2004,
179,Source Odyssee,2004,
180,Austria,2005,12.89
181,Belgium,2005,
182,Bulgaria,2005,8.587
183,Croatia,2005,21.473
184,Cyprus,2005,13.347
185,Czechia,2005,14.877
186,Denmark,2005,13.109
187,Estonia,2005,11.268
188,Finland,2005,7.59
189,France,2005,17.283
190,Germany,2005,14.271
191,Greece,2005,19.009
192,Hungary,2005,14.937
193,Ireland,2005,17.052
194,Italy,2005,15.765
195,Latvia,2005,16.164
196,Lithuania,2005,11.156
197,Luxembourg,2005,
198,Malta,2005,
199,Netherlands,2005,12.443
200,Norway,2005,
201,Poland,2005,15.718
202,Portugal,2005,4.974
203,Romania,2005,14.26
204,Serbia,2005,
205,Slovakia,2005,10.865
206,Slovenia,2005,18.867
207,Spain,2005,9.52
208,Sweden,2005,7.002
209,Switzerland,2005,12.629
210,United Kingdom,2005,12.851
211,European Union,2005,11.892
212,European Union 28,2005,11.744
213,,2005,
214,,2005,
215,Source Odyssee,2005,
216,Austria,2006,12.873
217,Belgium,2006,
218,Bulgaria,2006,8.899
219,Croatia,2006,21.546
220,Cyprus,2006,12.761
221,Czechia,2006,15.473
222,Denmark,2006,13.389
223,Estonia,2006,11.483
224,Finland,2006,7.608
225,France,2006,16.888
226,Germany,2006,14.638
227,Greece,2006,17.88
228,Hungary,2006,15.892
229,Ireland,2006,16.437
230,Italy,2006,16.223
231,Latvia,2006,15.423
232,Lithuania,2006,11.853
233,Luxembourg,2006,
234,Malta,2006,
235,Netherlands,2006,12.751
236,Norway,2006,
237,Poland,2006,17.069
238,Portugal,2006,5.529
239,Romania,2006,13.876
240,Serbia,2006,
241,Slovakia,2006,10.207
242,Slovenia,2006,18.123
243,Spain,2006,9.985
244,Sweden,2006,6.851
245,Switzerland,2006,12.915
246,United Kingdom,2006,11.949
247,European Union,2006,11.912
248,European Union 28,2006,11.7
249,,2006,
250,,2006,
251,Source Odyssee,2006,
252,Austria,2007,13.007
253,Belgium,2007,
254,Bulgaria,2007,9.225
255,Croatia,2007,21.636
256,Cyprus,2007,9.985
257,Czechia,2007,15.062
258,Denmark,2007,13.435
259,Estonia,2007,12.536
260,Finland,2007,7.759
261,France,2007,16.849
262,Germany,2007,12.086
263,Greece,2007,20.388
264,Hungary,2007,14.442
265,Ireland,2007,15.976
266,Italy,2007,16.906
267,Latvia,2007,15.875
268,Lithuania,2007,11.582
269,Luxembourg,2007,
270,Malta,2007,
271,Netherlands,2007,11.472
272,Norway,2007,
273,Poland,2007,16.375
274,Portugal,2007,5.535
275,Romania,2007,14.554
276,Serbia,2007,
277,Slovakia,2007,9.655
278,Slovenia,2007,18.81
279,Spain,2007,9.254
280,Sweden,2007,6.556
281,Switzerland,2007,11.887
282,United Kingdom,2007,11.559
283,European Union,2007,11.063
284,European Union 28,2007,10.905
285,,2007,
286,,2007,
287,Source Odyssee,2007,
288,Austria,2008,12.848
289,Belgium,2008,
290,Bulgaria,2008,9.158
291,Croatia,2008,21.028
292,Cyprus,2008,11.149
293,Czechia,2008,14.933
294,Denmark,2008,12.98
295,Estonia,2008,12.592
296,Finland,2008,7.795
297,France,2008,16.006
298,Germany,2008,13.407
299,Greece,2008,19.665
300,Hungary,2008,14.587
301,Ireland,2008,14.611
302,Italy,2008,17.168
303,Latvia,2008,16.453
304,Lithuania,2008,12.233
305,Luxembourg,2008,19.86
306,Malta,2008,
307,Netherlands,2008,11.861
308,Norway,2008,
309,Poland,2008,16.56
310,Portugal,2008,5.318
311,Romania,2008,15.928
312,Serbia,2008,
313,Slovakia,2008,10.163
314,Slovenia,2008,18.675
315,Spain,2008,8.725
316,Sweden,2008,6.585
317,Switzerland,2008,11.921
318,United Kingdom,2008,11.549
319,European Union,2008,11.518
320,European Union 28,2008,11.365
321,,2008,
322,,2008,
323,Source Odyssee,2008,
324,Austria,2009,12.539
325,Belgium,2009,
326,Bulgaria,2009,9.345
327,Croatia,2009,20.972
328,Cyprus,2009,11.284
329,Czechia,2009,14.54
330,Denmark,2009,12.138
331,Estonia,2009,11.433
332,Finland,2009,7.523
333,France,2009,15.595
334,Germany,2009,13.059
335,Greece,2009,18.645
336,Hungary,2009,14.516
337,Ireland,2009,13.624
338,Italy,2009,16.883
339,Latvia,2009,15.755
340,Lithuania,2009,10.437
341,Luxembourg,2009,20.03
342,Malta,2009,
343,Netherlands,2009,11.432
344,Norway,2009,
345,Poland,2009,15.367
346,Portugal,2009,5.635
347,Romania,2009,15.08
348,Serbia,2009,
349,Slovakia,2009,9.799
350,Slovenia,2009,17.587
351,Spain,2009,9.246
352,Sweden,2009,6.306
353,Switzerland,2009,11.885
354,United Kingdom,2009,10.87
355,European Union,2009,11.046
356,European Union 28,2009,10.797
357,,2009,
358,,2009,
359,Source Odyssee,2009,
360,Austria,2010,11.777
361,Belgium,2010,
362,Bulgaria,2010,9.312
363,Croatia,2010,19.79
364,Cyprus,2010,7.864
365,Czechia,2010,14.677
366,Denmark,2010,11.524
367,Estonia,2010,10.866
368,Finland,2010,7.435
369,France,2010,15.153
370,Germany,2010,11.811
371,Greece,2010,20.05
372,Hungary,2010,17.471
373,Ireland,2010,11.957
374,Italy,2010,16.56
375,Latvia,2010,13.317
376,Lithuania,2010,9.609
377,Luxembourg,2010,16.832
378,Malta,2010,
379,Netherlands,2010,11.401
380,Norway,2010,
381,Poland,2010,14.579
382,Portugal,2010,3.491
383,Romania,2010,14.216
384,Serbia,2010,
385,Slovakia,2010,9.804
386,Slovenia,2010,16.295
387,Spain,2010,7.703
388,Sweden,2010,5.518
389,Switzerland,2010,11.838
390,United Kingdom,2010,11.291
391,European Union,2010,10.411
392,European Union 28,2010,10.368
393,,2010,
394,,2010,
395,Source Odyssee,2010,
396,Austria,2011,12.16
397,Belgium,2011,
398,Bulgaria,2011,7.964
399,Croatia,2011,20.098
400,Cyprus,2011,9.005
401,Czechia,2011,15.221
402,Denmark,2011,11.889
403,Estonia,2011,11.583
404,Finland,2011,7.364
405,France,2011,15.148
406,Germany,2011,11.642
407,Greece,2011,17.046
408,Hungary,2011,18.545
409,Ireland,2011,11.764
410,Italy,2011,16.07
411,Latvia,2011,14.232
412,Lithuania,2011,10.3
413,Luxembourg,2011,19.199
414,Malta,2011,
415,Netherlands,2011,10.357
416,Norway,2011,
417,Poland,2011,15.261
418,Portugal,2011,3.747
419,Romania,2011,13.803
420,Serbia,2011,12.703
421,Slovakia,2011,9.413
422,Slovenia,2011,16.561
423,Spain,2011,8.177
424,Sweden,2011,6.163
425,Switzerland,2011,10.996
426,United Kingdom,2011,9.975
427,European Union,2011,10.289
428,European Union 28,2011,10.098
429,,2011,
430,,2011,
431,Source Odyssee,2011,
432,Austria,2012,12.203
433,Belgium,2012,
434,Bulgaria,2012,8.435
435,Croatia,2012,19.262
436,Cyprus,2012,8.69
437,Czechia,2012,14.884
438,Denmark,2012,10.874
439,Estonia,2012,10.788
440,Finland,2012,7.246
441,France,2012,14.771
442,Germany,2012,11.204
443,Greece,2012,16.228
444,Hungary,2012,18.516
445,Ireland,2012,10.362
446,Italy,2012,16.489
447,Latvia,2012,13.463
448,Lithuania,2012,9.601
449,Luxembourg,2012,16.573
450,Malta,2012,
451,Netherlands,2012,10.362
452,Norway,2012,
453,Poland,2012,14.684
454,Portugal,2012,3.074
455,Romania,2012,13.301
456,Serbia,2012,
457,Slovakia,2012,8.55
458,Slovenia,2012,15.765
459,Spain,2012,6.79
460,Sweden,2012,5.577
461,Switzerland,2012,10.901
462,United Kingdom,2012,9.999
463,European Union,2012,9.997
464,European Union 28,2012,9.864
465,,2012,
466,,2012,
467,Source Odyssee,2012,
468,Austria,2013,12.336
469,Belgium,2013,
470,Bulgaria,2013,8.537
471,Croatia,2013,18.712
472,Cyprus,2013,8.869
473,Czechia,2013,14.507
474,Denmark,2013,10.881
475,Estonia,2013,11.225
476,Finland,2013,7.2
477,France,2013,14.236
478,Germany,2013,11.74
479,Greece,2013,12.84
480,Hungary,2013,18.528
481,Ireland,2013,9.93
482,Italy,2013,16.665
483,Latvia,2013,12.687
484,Lithuania,2013,9.616
485,Luxembourg,2013,15.463
486,Malta,2013,
487,Netherlands,2013,10.413
488,Norway,2013,
489,Poland,2013,14.358
490,Portugal,2013,3.078
491,Romania,2013,13.4
492,Serbia,2013,
493,Slovakia,2013,8.961
494,Slovenia,2013,15.214
495,Spain,2013,6.493
496,Sweden,2013,5.692
497,Switzerland,2013,11.211
498,United Kingdom,2013,9.294
499,European Union,2013,10.43
500,European Union 28,2013,10.168
501,,2013,
502,,2013,
503,Source Odyssee,2013,
504,Austria,2014,12.554
505,Belgium,2014,
506,Bulgaria,2014,8.238
507,Croatia,2014,19.739
508,Cyprus,2014,9.818
509,Czechia,2014,14.366
510,Denmark,2014,11.571
511,Estonia,2014,10.324
512,Finland,2014,7.079
513,France,2014,14.053
514,Germany,2014,11.066
515,Greece,2014,13.719
516,Hungary,2014,18.182
517,Ireland,2014,9.336
518,Italy,2014,16.225
519,Latvia,2014,12.235
520,Lithuania,2014,9.067
521,Luxembourg,2014,17.422
522,Malta,2014,
523,Netherlands,2014,9.433
524,Norway,2014,
525,Poland,2014,14.522
526,Portugal,2014,3.569
527,Romania,2014,13.282
528,Serbia,2014,
529,Slovakia,2014,9.342
530,Slovenia,2014,14.664
531,Spain,2014,7.668
532,Sweden,2014,6.433
533,Switzerland,2014,10.199
534,United Kingdom,2014,9.001
535,European Union,2014,9.653
536,European Union 28,2014,9.444
537,,2014,
538,,2014,
539,Source Odyssee,2014,
540,Austria,2015,12.431
541,Belgium,2015,
542,Bulgaria,2015,8.573
543,Croatia,2015,18.813
544,Cyprus,2015,8.943
545,Czechia,2015,13.782
546,Denmark,2015,11.457
547,Estonia,2015,10.677
548,Finland,2015,7.287
549,France,2015,14.13
550,Germany,2015,11.092
551,Greece,2015,15.333
552,Hungary,2015,17.731
553,Ireland,2015,9.265
554,Italy,2015,16.642
555,Latvia,2015,11.125
556,Lithuania,2015,9.193
557,Luxembourg,2015,17.104
558,Malta,2015,
559,Netherlands,2015,9.129
560,Norway,2015,
561,Poland,2015,13.508
562,Portugal,2015,3.834
563,Romania,2015,12.867
564,Serbia,2015,
565,Slovakia,2015,8.49
566,Slovenia,2015,14.509
567,Spain,2015,7.741
568,Sweden,2015,5.756
569,Switzerland,2015,10.052
570,United Kingdom,2015,8.975
571,European Union,2015,9.916
572,European Union 28,2015,9.569
573,,2015,
574,,2015,
575,Source Odyssee,2015,
576,Austria,2016,12.26
577,Belgium,2016,
578,Bulgaria,2016,8.704
579,Croatia,2016,17.959
580,Cyprus,2016,9.474
581,Czechia,2016,13.285
582,Denmark,2016,11.425
583,Estonia,2016,10.494
584,Finland,2016,6.897
585,France,2016,13.667
586,Germany,2016,11.283
587,Greece,2016,14.744
588,Hungary,2016,17.52
589,Ireland,2016,9.472
590,Italy,2016,16.822
591,Latvia,2016,10.789
592,Lithuania,2016,8.913
593,Luxembourg,2016,16.53
594,Malta,2016,
595,Netherlands,2016,9.181
596,Norway,2016,
597,Poland,2016,13.447
598,Portugal,2016,3.584
599,Romania,2016,12.397
600,Serbia,2016,
601,Slovakia,2016,8.384
602,Slovenia,2016,14.432
603,Spain,2016,7.198
604,Sweden,2016,5.35
605,Switzerland,2016,10.369
606,United Kingdom,2016,8.982
607,European Union,2016,9.752
608,European Union 28,2016,9.459
609,,2016,
610,,2016,
611,Source Odyssee,2016,
612,Austria,2017,11.952
613,Belgium,2017,
614,Bulgaria,2017,8.59
615,Croatia,2017,17.443
616,Cyprus,2017,9.328
617,Czechia,2017,13.213
618,Denmark,2017,11.146
619,Estonia,2017,10.18
620,Finland,2017,6.657
621,France,2017,13.463
622,Germany,2017,10.852
623,Greece,2017,13.9
624,Hungary,2017,17.668
625,Ireland,2017,9.702
626,Italy,2017,16.078
627,Latvia,2017,11.353
628,Lithuania,2017,8.711
