,date,search_term,interest
0,2019-09-01,insulation,44
1,2019-09-08,insulation,47
2,2019-09-15,insulation,44
3,2019-09-22,insulation,44
4,2019-09-29,insulation,50
5,2019-10-06,insulation,54
6,2019-10-13,insulation,54
7,2019-10-20,insulation,55
8,2019-10-27,insulation,60
9,2019-11-03,insulation,62
10,2019-11-10,insulation,66
11,2019-11-17,insulation,70
12,2019-11-24,insulation,53
13,2019-12-01,insulation,62
14,2019-12-08,insulation,53
15,2019-12-15,insulation,50
16,2019-12-22,insulation,30
17,2019-12-29,insulation,40
18,2020-01-05,insulation,53
19,2020-01-12,insulation,55
20,2020-01-19,insulation,60
21,2020-01-26,insulation,57
22,2020-02-02,insulation,57
23,2020-02-09,insulation,59
24,2020-02-16,insulation,54
25,2020-02-23,insulation,51
26,2020-03-01,insulation,52
27,2020-03-08,insulation,46
28,2020-03-15,insulation,40
29,2020-03-22,insulation,36
30,2020-03-29,insulation,36
31,2020-04-05,insulation,38
32,2020-04-12,insulation,38
33,2020-04-19,insulation,40
34,2020-04-26,insulation,41
35,2020-05-03,insulation,40
36,2020-05-10,insulation,46
37,2020-05-17,insulation,45
38,2020-05-24,insulation,40
39,2020-05-31,insulation,46
40,2020-06-07,insulation,52
41,2020-06-14,insulation,48
42,2020-06-21,insulation,49
43,2020-06-28,insulation,52
44,2020-07-05,insulation,84
45,2020-07-12,insulation,57
46,2020-07-19,insulation,55
47,2020-07-26,insulation,53
48,2020-08-02,insulation,58
49,2020-08-09,insulation,52
50,2020-08-16,insulation,54
51,2020-08-23,insulation,57
52,2020-08-30,insulation,62
53,2020-09-06,insulation,63
54,2020-09-13,insulation,62
55,2020-09-20,insulation,69
56,2020-09-27,insulation,82
57,2020-10-04,insulation,76
58,2020-10-11,insulation,74
59,2020-10-18,insulation,70
60,2020-10-25,insulation,66
61,2020-11-01,insulation,67
62,2020-11-08,insulation,70
63,2020-11-15,insulation,72
64,2020-11-22,insulation,67
65,2020-11-29,insulation,73
66,2020-12-06,insulation,75
67,2020-12-13,insulation,52
68,2020-12-20,insulation,43
69,2020-12-27,insulation,63
70,2021-01-03,insulation,88
71,2021-01-10,insulation,82
72,2021-01-17,insulation,75
73,2021-01-24,insulation,78
74,2021-01-31,insulation,75
75,2021-02-07,insulation,100
76,2021-02-14,insulation,82
77,2021-02-21,insulation,68
78,2021-02-28,insulation,66
79,2021-03-07,insulation,65
