,date,search_term,interest
0,2018-12-02,insulation,47
1,2018-12-09,insulation,47
2,2018-12-16,insulation,39
3,2018-12-23,insulation,26
4,2018-12-30,insulation,43
5,2019-01-06,insulation,55
6,2019-01-13,insulation,57
7,2019-01-20,insulation,63
8,2019-01-27,insulation,66
9,2019-02-03,insulation,55
10,2019-02-10,insulation,51
11,2019-02-17,insulation,48
12,2019-02-24,insulation,48
13,2019-03-03,insulation,47
14,2019-03-10,insulation,46
15,2019-03-17,insulation,46
16,2019-03-24,insulation,40
17,2019-03-31,insulation,43
18,2019-04-07,insulation,45
19,2019-04-14,insulation,39
20,2019-04-21,insulation,38
21,2019-04-28,insulation,41
22,2019-05-05,insulation,42
23,2019-05-12,insulation,40
24,2019-05-19,insulation,41
25,2019-05-26,insulation,33
26,2019-06-02,insulation,39
27,2019-06-09,insulation,43
28,2019-06-16,insulation,33
29,2019-06-23,insulation,37
30,2019-06-30,insulation,40
31,2019-07-07,insulation,35
32,2019-07-14,insulation,41
33,2019-07-21,insulation,36
34,2019-07-28,insulation,35
35,2019-08-04,insulation,40
36,2019-08-11,insulation,42
37,2019-08-18,insulation,42
38,2019-08-25,insulation,36
39,2019-09-01,insulation,43
40,2019-09-08,insulation,47
41,2019-09-15,insulation,44
42,2019-09-22,insulation,45
43,2019-09-29,insulation,50
44,2019-10-06,insulation,54
45,2019-10-13,insulation,54
46,2019-10-20,insulation,55
47,2019-10-27,insulation,60
48,2019-11-03,insulation,62
49,2019-11-10,insulation,65
50,2019-11-17,insulation,70
51,2019-11-24,insulation,53
52,2019-12-01,insulation,61
53,2019-12-08,insulation,51
54,2019-12-15,insulation,50
55,2019-12-22,insulation,30
56,2019-12-29,insulation,41
57,2020-01-05,insulation,53
58,2020-01-12,insulation,55
59,2020-01-19,insulation,60
60,2020-01-26,insulation,57
61,2020-02-02,insulation,56
62,2020-02-09,insulation,60
63,2020-02-16,insulation,54
64,2020-02-23,insulation,50
65,2020-03-01,insulation,52
66,2020-03-08,insulation,45
67,2020-03-15,insulation,39
68,2020-03-22,insulation,36
69,2020-03-29,insulation,36
70,2020-04-05,insulation,37
71,2020-04-12,insulation,37
