,date,search_term,interest,month,year,m_1,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,y_2018,y_2019,y_2020,y_2021,y_2022,interest_sa
0,2018-12-02,insulation,47,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60.408546491748474
1,2018-12-09,insulation,47,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60.408546491748474
2,2018-12-16,insulation,39,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,52.408546491748474
3,2018-12-23,insulation,26,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,39.408546491748474
4,2018-12-30,insulation,43,12,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,56.408546491748474
5,2019-01-06,insulation,55,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55.0
6,2019-01-13,insulation,57,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57.0
7,2019-01-20,insulation,63,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63.0
8,2019-01-27,insulation,66,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66.0
9,2019-02-03,insulation,55,2,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,59.31237879961431
10,2019-02-10,insulation,51,2,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,55.31237879961431
11,2019-02-17,insulation,48,2,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,52.31237879961431
12,2019-02-24,insulation,48,2,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,52.31237879961431
13,2019-03-03,insulation,47,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,61.333090932561944
14,2019-03-10,insulation,46,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,60.333090932561944
15,2019-03-17,insulation,46,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,60.333090932561944
16,2019-03-24,insulation,40,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,54.333090932561944
17,2019-03-31,insulation,43,3,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,57.333090932561944
18,2019-04-07,insulation,45,4,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,63.187378799614294
19,2019-04-14,insulation,39,4,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,57.187378799614294
20,2019-04-21,insulation,38,4,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,56.187378799614294
21,2019-04-28,insulation,41,4,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,59.187378799614294
22,2019-05-05,insulation,42,5,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,63.49903144728211
23,2019-05-12,insulation,40,5,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,61.49903144728211
24,2019-05-19,insulation,41,5,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,62.49903144728211
25,2019-05-26,insulation,33,5,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,54.49903144728211
26,2019-06-02,insulation,39,6,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,60.85376701692674
27,2019-06-09,insulation,43,6,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,64.85376701692674
28,2019-06-16,insulation,33,6,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,54.85376701692674
29,2019-06-23,insulation,37,6,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,58.85376701692674
30,2019-06-30,insulation,40,6,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,61.85376701692674
31,2019-07-07,insulation,35,7,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,54.84110555985794
32,2019-07-14,insulation,41,7,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,60.84110555985794
33,2019-07-21,insulation,36,7,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,55.84110555985794
34,2019-07-28,insulation,35,7,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,54.84110555985794
35,2019-08-04,insulation,40,8,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,55.39893687636693
36,2019-08-11,insulation,42,8,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,57.39893687636693
37,2019-08-18,insulation,42,8,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,57.39893687636693
38,2019-08-25,insulation,36,8,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,51.39893687636693
39,2019-09-01,insulation,43,9,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,48.55964936986791
40,2019-09-08,insulation,47,9,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,52.55964936986791
41,2019-09-15,insulation,44,9,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,49.55964936986791
42,2019-09-22,insulation,45,9,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50.55964936986791
43,2019-09-29,insulation,50,9,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,55.55964936986791
