,inc_decile,Name,pcnt_spend,inflation,inf_rank
33,Decile 4,"4. Housing, water, electricity, gas and other fuels",19.9,40.83448369002078,1.0
39,Decile 10,"4. Housing, water, electricity, gas and other fuels",10.4,40.83448369002078,1.0
38,Decile 9,"4. Housing, water, electricity, gas and other fuels",11.5,40.83448369002078,1.0
37,Decile 8,"4. Housing, water, electricity, gas and other fuels",12.0,40.83448369002078,1.0
36,Decile 7,"4. Housing, water, electricity, gas and other fuels",13.7,40.83448369002078,1.0
35,Decile 6,"4. Housing, water, electricity, gas and other fuels",16.5,40.83448369002078,1.0
34,Decile 5,"4. Housing, water, electricity, gas and other fuels",18.0,40.83448369002078,1.0
32,Decile 3,"4. Housing, water, electricity, gas and other fuels",20.3,40.83448369002078,1.0
31,Decile 2,"4. Housing, water, electricity, gas and other fuels",24.1,40.83448369002078,1.0
30,Decile 1,"4. Housing, water, electricity, gas and other fuels",26.4,40.83448369002078,1.0
0,Decile 1,1. Food and non-alcoholic beverages,18.2,18.13920600627541,2.0
1,Decile 2,1. Food and non-alcoholic beverages,17.3,18.13920600627541,2.0
2,Decile 3,1. Food and non-alcoholic beverages,17.5,18.13920600627541,2.0
3,Decile 4,1. Food and non-alcoholic beverages,16.2,18.13920600627541,2.0
4,Decile 5,1. Food and non-alcoholic beverages,15.2,18.13920600627541,2.0
5,Decile 6,1. Food and non-alcoholic beverages,14.4,18.13920600627541,2.0
7,Decile 8,1. Food and non-alcoholic beverages,13.6,18.13920600627541,2.0
8,Decile 9,1. Food and non-alcoholic beverages,12.6,18.13920600627541,2.0
9,Decile 10,1. Food and non-alcoholic beverages,12.0,18.13920600627541,2.0
6,Decile 7,1. Food and non-alcoholic beverages,14.3,18.13920600627541,2.0
100,Decile 1,11. Restaurants and hotels,6.8,14.708590941578748,3.0
102,Decile 3,11. Restaurants and hotels,8.0,14.708590941578748,3.0
103,Decile 4,11. Restaurants and hotels,8.5,14.708590941578748,3.0
104,Decile 5,11. Restaurants and hotels,9.4,14.708590941578748,3.0
105,Decile 6,11. Restaurants and hotels,9.9,14.708590941578748,3.0
106,Decile 7,11. Restaurants and hotels,11.5,14.708590941578748,3.0
107,Decile 8,11. Restaurants and hotels,10.6,14.708590941578748,3.0
108,Decile 9,11. Restaurants and hotels,12.3,14.708590941578748,3.0
101,Decile 2,11. Restaurants and hotels,7.2,14.708590941578748,3.0
109,Decile 10,11. Restaurants and hotels,12.1,14.708590941578748,3.0
20,Decile 1,3. Clothing and footwear,3.5,13.682133066347824,4.0
21,Decile 2,3. Clothing and footwear,4.6,13.682133066347824,4.0
22,Decile 3,3. Clothing and footwear,4.8,13.682133066347824,4.0
28,Decile 9,3. Clothing and footwear,5.4,13.682133066347824,4.0
23,Decile 4,3. Clothing and footwear,4.6,13.682133066347824,4.0
24,Decile 5,3. Clothing and footwear,6.1,13.682133066347824,4.0
25,Decile 6,3. Clothing and footwear,4.6,13.682133066347824,4.0
27,Decile 8,3. Clothing and footwear,5.1,13.682133066347824,4.0
26,Decile 7,3. Clothing and footwear,5.1,13.682133066347824,4.0
29,Decile 10,3. Clothing and footwear,4.9,13.682133066347824,4.0
44,Decile 5,"5. Furniture, household equipment and maintenance",6.5,9.336454125311233,5.0
47,Decile 8,"5. Furniture, household equipment and maintenance",7.3,9.336454125311233,5.0
46,Decile 7,"5. Furniture, household equipment and maintenance",7.0,9.336454125311233,5.0
45,Decile 6,"5. Furniture, household equipment and maintenance",7.1,9.336454125311233,5.0
40,Decile 1,"5. Furniture, household equipment and maintenance",5.2,9.336454125311233,5.0
42,Decile 3,"5. Furniture, household equipment and maintenance",6.4,9.336454125311233,5.0
