,Period,inc_quintile,inf
193,2022-02-01,Quintile 1,6.6
194,2022-03-01,Quintile 1,7.4
195,2022-04-01,Quintile 1,11.3
196,2022-05-01,Quintile 1,11.5
197,2022-06-01,Quintile 1,12.0
198,2022-07-01,Quintile 1,12.9
199,2022-08-01,Quintile 1,12.7
200,2022-09-01,Quintile 1,13.0
201,2022-10-01,Quintile 1,15.2
395,2022-02-01,Quintile 2,6.7
396,2022-03-01,Quintile 2,7.5
397,2022-04-01,Quintile 2,10.9
398,2022-05-01,Quintile 2,11.1
399,2022-06-01,Quintile 2,11.6
400,2022-07-01,Quintile 2,12.5
401,2022-08-01,Quintile 2,12.2
402,2022-09-01,Quintile 2,12.5
403,2022-10-01,Quintile 2,14.4
597,2022-02-01,Quintile 3,6.7
598,2022-03-01,Quintile 3,7.6
599,2022-04-01,Quintile 3,10.4
600,2022-05-01,Quintile 3,10.5
601,2022-06-01,Quintile 3,11.0
602,2022-07-01,Quintile 3,11.7
603,2022-08-01,Quintile 3,11.4
604,2022-09-01,Quintile 3,11.7
605,2022-10-01,Quintile 3,13.1
799,2022-02-01,Quintile 4,6.7
800,2022-03-01,Quintile 4,7.6
801,2022-04-01,Quintile 4,9.9
802,2022-05-01,Quintile 4,10.0
803,2022-06-01,Quintile 4,10.4
804,2022-07-01,Quintile 4,11.2
805,2022-08-01,Quintile 4,10.8
806,2022-09-01,Quintile 4,11.1
807,2022-10-01,Quintile 4,12.2
1001,2022-02-01,Quintile 5,6.6
1002,2022-03-01,Quintile 5,7.5
1003,2022-04-01,Quintile 5,9.5
1004,2022-05-01,Quintile 5,9.6
1005,2022-06-01,Quintile 5,9.9
1006,2022-07-01,Quintile 5,10.6
1007,2022-08-01,Quintile 5,10.2
1008,2022-09-01,Quintile 5,10.5
1009,2022-10-01,Quintile 5,11.5
